title,published_dt,section,source,link,note
CMS lifts enrollment suspension on UnitedHealthcare Medicare Advantage plan,2024-10-24T13:27:27-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/cms-lifts-enrollment-suspension-on-unitedhealthcare-medicare-advantage-plan,The article discusses a lifted enrollment suspension but does not describe any exit events or closures.
Regence BlueShield of Idaho to keep state contract after Blue Cross suit dismissed,2024-10-18T14:05:50-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/regence-blueshield-of-idaho-to-keep-state-contract-after-blue-cross-suit-dismissed,The article discusses a contract dispute and does not mention any exit events or closures.
"Rhode Island reevaluating Medicaid contracts after BCBS, Tufts appeal",2024-10-16T19:19:02-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/rhode-island-reevaluating-medicaid-contracts-after-bcbs-tufts-appeal,The article discusses a reevaluation of Medicaid contracts and appeals by payers but does not describe any exit events or closures.
"UnitedHealthcare, WellSpan near split date",2024-10-15T16:12:23-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unitedhealthcare-wellspan-near-split-date,The article discusses ongoing negotiations between UnitedHealthcare and WellSpan but does not mention any exit events or closures.
9 payers snag Michigan Medicaid-Medicare contracts,2024-10-14T20:27:51-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/9-payers-snag-michigan-medicaid-medicare-contracts,The article discusses new contracts awarded to payers without mentioning any exit events or closures.
Kansas judge rejects Aetna's Medicaid contract challenge: 5 things to know,2024-10-03T16:48:26-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/kansas-judge-rejects-aetnas-medicaid-contract-challenge-5-things-to-know,The article discusses a legal challenge regarding Medicaid contracts but does not mention any exit events or closures.
"Florida Blue, Baptist Health face October 1 split",2024-09-16T22:22:51-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/florida-blue-baptist-health-face-october-1-split,"The article discusses a contract negotiation that resulted in a new agreement, not an exit event or closure."
"Arizona upholds contract awards to UnitedHealth, Centene",2024-09-12T16:39:46-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/arizona-pauses-medicaid-long-term-care-contract-awards-to-unitedhealth-centene,The article discusses a legal challenge regarding contract awards but does not mention any specific exit events or closures.
"Aetna, HCA Florida reach agreement covering 48 hospitals",2024-09-09T20:42:55-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/aetna-48-hca-florida-hospitals-face-september-15-split,"The article discusses a contract agreement between Aetna and HCA Florida, with no exits or closures mentioned."
Turning the tables: How providers can maximize their leverage in payer negotiations,2024-09-06T14:59:53-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/turning-the-tables-how-providers-can-maximize-their-leverage-in-payer-negotiations,The article discusses negotiation strategies for providers but does not mention any specific exit events or closures.
Iowa renews Centene Medicaid contract,2024-09-04T16:53:51-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/iowa-renews-centene-medicaid-contract,The article discusses a contract renewal and does not mention any exit events or closures.
"Aetna, Providence reach in-network agreement",2024-09-03T16:06:10-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/aetna-providence-reach-in-network-agreement,"The article discusses a contract agreement between Aetna and Providence, not an exit event or closure."
Mississippi awards Medicaid contracts,2024-08-29T22:07:18-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/mississippi-awards-medicaid-contracts,The article discusses Medicaid contract awards and does not mention any exit events or closures.
Pennsylvania selects 5 payers for special Medicaid contracts,2024-08-26T19:31:30-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/pennsylvania-selects-5-payers-for-special-medicaid-contracts,The article discusses the selection of payers for Medicaid contracts but does not mention any exit events or closures.
"VCU Health strikes Cigna, Aetna deals",2024-07-19T13:45:58-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/vcu-health-strikes-cigna-aetna-deals,The article discusses new contracts with payers but does not mention any exit events or closures.
Florida awards Medicaid contracts to 3 more payers,2024-07-19T13:36:22-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/in-reversal-florida-awards-medicaid-contracts-to-3-more-payers,The article discusses the awarding of Medicaid contracts but does not mention any exit events or closures.
"2 payers win Rhode Island Medicaid contracts, BCBS loses out",2024-07-17T13:51:48-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/2-payers-win-ri-medicaid-contracts-bcbs-loses-out,The article discusses a procurement process for Medicaid contracts without any explicit exit events or closures.
Florida system's primary care physicians splitting with BCBS Medicare Advantage,2024-07-10T15:04:11-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/florida-systems-primary-care-physicians-splitting-with-bcbs-medicare-advantage,The article discusses a provider remaining in-network with a payer and does not mention any exit events or closures.
Kansas rejects Aetna's Medicaid challenge,2024-07-09T21:56:26-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/kansas-rejects-aetnas-medicaid-challenge,The article discusses a procurement process and contract awards without mentioning any specific exit events or closures.
Aetna strikes deal with Illinois system,2024-06-28T16:22:06-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/aetna-strikes-deal-with-illinois-system,The article discusses a contracting agreement and potential disruption in care but does not mention any exit events or closures.
Montana to award state health plan to BCBS,2024-06-26T13:49:15-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/montana-to-award-state-health-plan-to-bcbs,The article discusses a contract award but does not mention any exit events or closures.
Key union pulls support for NYC's Aetna Medicare Advantage plan,2024-06-25T19:33:28-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/key-union-pulls-support-for-new-yorks-aetna-medicare-advantage-plan,The article discusses challenges related to a Medicare Advantage contract but does not describe any exit events or closures.
Texas rejects insurers' Medicaid contract protests,2024-06-10T19:38:27-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/texas-rejects-insurers-medicaid-contract-protests,The article discusses contract awards and potential impacts on health plans but does not describe any specific exit events or closures.
Medicaid managed care contracts: 7 updates,2024-05-29T19:30:15-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/medicaid-managed-care-contracts-7-updates,The article discusses updates on Medicaid managed care contracts without mentioning any specific exit events or closures.
New York City continues push for Aetna Medicare Advantage plan,2024-05-22T20:49:36-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/new-york-city-continues-push-for-aetna-medicare-advantage-plan,The article discusses a proposed Medicare Advantage contract but does not describe any exit events or closures.
Texas sent competitors' Medicaid bids to Aetna too early: Report,2024-04-29T21:42:59-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/records-sent-in-error-cast-doubt-on-contentious-texas-medicaid-contract-awards,The article discusses Medicaid contract awards and procurement issues without mentioning any specific exit events or closures.
Michigan awards Medicaid contracts to 9 payers,2024-04-11T13:15:28-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/michigan-awards-medicaid-contracts-to-9-payers,The article discusses the awarding of Medicaid contracts to payers without mentioning any exit events or closures.
"Aetna, Horizon BCBS snag New Jersey state employee benefits contracts",2024-04-03T21:28:07-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/aetna-horizon-bcbs-snag-new-jersey-state-employee-benefits-contracts,The article discusses new contracts awarded to Aetna and Horizon but does not mention any exit events or closures.
"UnitedHealthcare, UNC Health strike deal",2024-03-28T20:33:57-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unitedhealthcare-unc-health-strike-deal,"The article discusses a contract renewal between UnitedHealthcare and UNC Health, not an exit event or closure."
"NewYork-Presbyterian, Aetna reach deal",2024-03-20T21:11:04-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/newyork-presbyterian-aetna-reach-deal,The article discusses a negotiation between NewYork-Presbyterian and Aetna but does not describe any exit events or closures.
Feds select 32 health plans for U.S. Postal Service contract,2024-03-14T19:20:39-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/feds-select-32-health-plans-for-u-s-postal-service-contract,The article discusses health plans selected for a contract but does not mention any exit events or closures.
"Aetna, NewYork-Presbyterian 'far apart' as contract deadline nears",2024-03-12T14:32:21-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/aetna-newyork-presbyterian-far-apart-as-contract-deadline-nears,The article discusses contract negotiations between Aetna and NewYork-Presbyterian but does not mention any exit events or closures.
"Cigna, Trinity Health of New England strike new deal",2024-03-01T16:01:23-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/cigna-trinity-health-of-new-england-strike-new-deal,The article discusses a new contract agreement and does not mention any exit events or closures.
Anthem under fire for 'massively screwed-up' Medicare Advantage contract implementation,2024-02-23T17:12:18-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/anthem-under-fire-for-massively-screwed-up-medicare-advantage-contract-implementation,The article discusses issues with a Medicare Advantage contract but does not describe any exit events or closures.
"UnitedHealthcare, UVM Health strike last-minute deal",2024-02-22T16:19:22-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unitedhealthcare-uvm-health-strike-last-minute-deal,The article discusses a contract agreement that prevents an exit event from occurring.
"BCBS North Carolina's challenge for $17.5B state contract can continue, judge rules",2024-01-25T22:46:53-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/blue-cross-ncs-challenge-for-17-5b-contract-can-continue-judge-rules,The article discusses a legal challenge regarding a state contract but does not mention any exit events or closures.
Highmark snags Medicaid contract in West Virginia,2024-01-19T20:59:38-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/highmark-snags-managed-medicaid-contract-in-west-virginia,The article discusses a new Medicaid contract but does not mention any exit events or closures.
New Hampshire awards Medicaid contracts,2024-01-19T15:07:09-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/new-hampshire-awards-medicaid-contracts,The article discusses the awarding of Medicaid contracts without mentioning any exit events or closures.
CMS to terminate Medicare Advantage drug contracts with 2 Centene plans,2024-01-05T19:41:22-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/cms-to-terminate-medicare-advantage-drug-contracts-with-2-centene-plans,The article discusses contract termination and sanctions but does not describe a specific exit event or closure.
"Cigna, WakeMed reach agreement",2024-01-02T19:23:11-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/cigna-wakemed-reach-agreement,The article discusses a contract agreement that maintains in-network status for Cigna beneficiaries and does not mention any exit events or closures.
"Anthem, Wellstar agree to 4-year contract",2023-11-28T20:52:51-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/anthem-wellstar-agree-to-4-year-contract,"The article discusses a contract agreement between Anthem and Wellstar, with no exits or closures mentioned."
Tennessee extends Medicaid contracts without Centene,2023-11-17T18:14:50-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/tennessee-extends-medicaid-contracts-without-centene,The article discusses contract extensions and ongoing litigation but does not describe any exit events or closures.
"Aetna, OHSU reach new deal",2023-11-10T19:06:05-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/aetna-ohsu-reach-new-deal,"The article discusses a new agreement between Aetna and OHSU, preventing an exit event."
"Humana, Memorial Hermann at impasse as deadline nears",2023-11-03T18:17:26-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/humana-memorial-hermann-at-impasse-as-deadline-nears,The article discusses contract negotiations but does not specify any exit events or closures.
Georgia seeks bidders for $6B Medicaid contracts,2023-10-26T21:29:06-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/georgia-seeks-bidders-for-6b-medicaid-contracts,The article discusses contract procurement for Medicaid management but does not describe any exit events or closures.
"Aetna, OHSU at odds over new contract",2023-10-25T18:10:47-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/aetna-ohsu-at-odds-over-new-contract,The article discusses ongoing contract negotiations without any confirmed exit events or closures.
New Hampshire seeking Medicaid contract bids,2023-09-28T22:35:32-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/new-hampshire-seeking-medicaid-contract-bids,The article discusses Medicaid contract bids without mentioning any specific exit events or closures.
Texas awards 7 payers new contracts to manage Medicaid long-term services,2023-09-12T22:07:41-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/texas-awards-7-payers-new-contracts-to-manage-medicaid-long-term-services,The article discusses contract awards and does not mention any exit events or closures.
Major payers drop senior companionship company following patient abuse allegations,2023-09-12T19:24:12-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/major-payers-drop-senior-companionship-company-following-patient-abuse-allegations,The article discusses allegations against a companionship company but does not mention any specific exit events or closures.
"Empire BCBS, Catholic Health ink value-based contract",2023-09-12T18:58:12-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/empire-bcbs-catholic-health-ink-value-based-contract,The article discusses a value-based contract between Empire BCBS and Catholic Health without mentioning any exit events or closures.
Michigan seeks bids for Medicaid program overhaul,2023-08-23T21:35:16-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/michigan-seeks-bids-for-medicaid-program-overhaul,The article discusses a Medicaid program overhaul and bidding process but does not mention any specific exit events or closures.
Centene loses challenge for $65B Tricare contract,2023-08-16T20:16:40-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/centene-loses-challenge-for-65b-tricare-contract,The article discusses a contract challenge and does not mention any exit events or closures.
"UnitedHealthcare, Orlando Health reach contract agreement",2023-08-01T14:01:42-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unitedhealthcare-orlando-health-reach-contract-agreement,The article discusses a contract agreement and does not mention any exit events or closures.
Highmark adds 2 health systems to network ahead of move,2023-07-19T19:51:06-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/highmark-adds-2-health-systems-to-network-ahead-of-move,The article discusses new contracts and expansions rather than any exits or closures.
"Anthem BCBS, Maine hospitals ink in-network contract",2023-07-05T21:28:05-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/anthem-bcbs-maine-hospitals-ink-in-network-contract,"The article discusses a contract renewal, not an exit event or closure."
"Cigna, Hackensack Meridian extend contract",2023-06-15T18:32:04-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/cigna-hackensack-meridian-extend-contract,"The article discusses a contract extension between Cigna and Hackensack Meridian, with no exit events or closures mentioned."
"Oklahoma awards Medicaid contracts to Aetna, Centene, Humana",2023-06-08T21:12:34-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/oklahoma-awards-medicaid-contracts-to-aetna-centene-humana,The article discusses the awarding of Medicaid contracts but does not mention any exit events or closures.
"UnitedHealthcare, Phoenix Children's reach new deal just before deadline",2023-06-01T20:54:35-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unitedhealthcare-phoenix-childrens-reach-new-deal-just-before-deadline,"The article discusses a new agreement between Phoenix Children's and UnitedHealthcare, preventing an exit event."
"BCBS Texas, Hendrick Health extend contract deadline to July 31",2023-06-01T20:30:28-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/bcbs-texas-hendrick-health-extend-contract-deadline-to-july-31,The article discusses contract extensions and potential impacts on members but does not describe any exit events or closures.
Aetna allocates $7.3M to improve cancer outcomes in Virginia,2023-05-23T18:45:15-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/aetna-allocates-7-3m-to-improve-cancer-outcomes-in-virginia,The article discusses funding for community health centers but does not mention any exit events or closures.
"Blue Cross Blue Shield of Massachusetts, Tufts Medicine strike 'pay-for-equity' contract",2023-05-23T14:34:59-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/blue-cross-blue-shield-of-massachusetts-tufts-medicine-strike-pay-for-equity-contract,The article discusses a contract between BCBS Massachusetts and Tufts Medicine but does not mention any exit events or closures.
Highmark Blue Shield inks contract with Temple Health,2023-05-18T14:24:16-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/highmark-blue-shield-inks-contract-with-temple-health,The article discusses a new contract between Highmark and Temple Health without mentioning any exit events or closures.
