article_title,article_published_dt,article_section,article_source,link,event_index,status,provider,payer,market,program,effective_date,states,geography_detail,reason,member_impact,summary,record_type,event_type
Cigna to go out of network with Kentucky system on Oct. 1,2025-09-08T10:37:42-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/cigna-to-go-out-of-network-with-kentucky-system-on-oct-1,1,Planned Exit,Norton Healthcare,Cigna,,,2025-10-01,KY,Louisville,,,"Norton Healthcare is going out of network with Cigna on Oct. 1 following an extension. The contract was originally scheduled to terminate on Sept. 8, but patients with Cigna coverage will be able to receive care through the system until next month.",exit,provider_payer_exit
"Florida Blue, Memorial Healthcare System split",2025-09-04T08:38:26-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/florida-blue-memorial-healthcare-system-split,1,Active Exit,Memorial Healthcare System,Florida Blue,Multiple,,2025-09-01,FL,Broward County,Unable to agree to a new contract,Could impact Memorial’s ability to continue to invest in the community,Memorial Healthcare System went out of network with Florida Blue on September 1 after failing to agree on a new contract. This split affects all Florida Blue plans and could impact Memorial's community investments.,exit,provider_payer_exit
"UnitedHealthcare, Ascension Wisconsin near split date",2025-09-02T09:27:45-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unitedhealthcare-ascension-wisconsin-near-split-date,1,Planned Exit,Ascension Wisconsin,UnitedHealthcare,Unknown,,2025-10-01,WI,,The two sides are unable to agree to a new contract.,,Ascension Wisconsin will go out of network with UnitedHealthcare on October 1 if a new contract is not agreed upon. The decision is due to UnitedHealthcare's proposal not keeping pace with inflation affecting health systems.,exit,provider_payer_exit
Northern Light Health agrees to mediation in Anthem contract dispute,2025-08-28T09:43:17-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/northern-light-health-agrees-to-mediation-in-anthem-contract-dispute,1,Planned Exit,Northern Light Health,Anthem Blue Cross Blue Shield,Commercial,,2025-10-01,ME,,Payment delays and administrative burdens.,Northern Light physicians and some ancillary services will be out of network with all commercial Anthem plans.,"Northern Light Health has decided to end its relationship with Anthem due to payment delays and administrative burdens. If mediation fails, Northern Light will be out of network with all commercial Anthem plans on October 1.",exit,provider_payer_exit
Northern Light Health agrees to mediation in Anthem contract dispute,2025-08-28T09:43:17-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/northern-light-health-agrees-to-mediation-in-anthem-contract-dispute,2,Planned Exit,Northern Light Health,Anthem Blue Cross Blue Shield,Medicare Advantage,,2026-01-01,ME,,Payment delays and administrative burdens.,The entire health system will be out of network with all Anthem Medicare Advantage plans.,"Northern Light Health will be out of network with all Anthem Medicare Advantage plans on January 1, following their decision to end the relationship due to ongoing issues.",exit,provider_payer_exit
Johns Hopkins goes out of network with UnitedHealthcare,2025-08-26T09:08:47-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/johns-hopkins-goes-out-of-network-with-unitedhealthcare,1,Active Exit,Johns Hopkins Medicine,UnitedHealthcare,Multiple,,2025-08-25,"MD,VA","Washington, D.C.",Unable to agree on a new contract after eight months of negotiation.,Disruption in care for patients requiring services from Johns Hopkins providers.,"Johns Hopkins Medicine went out of network with UnitedHealthcare on August 25, 2025, after failing to reach a new contract agreement. This split affects providers in Maryland, Virginia, and Washington, D.C., causing potential disruptions in care for patients.",exit,provider_payer_exit
Ohio health system to stop accepting out-of-network patients,2025-08-25T09:42:39-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/ohio-health-system-to-stop-accepting-out-of-network-patients,1,Planned Exit,Summa Health,,,,2025-09-01,OH,Akron,Summa Health will no longer schedule appointments for out-of-network and non-contracted insurance plans.,Patients with out-of-network insurance will be responsible for substantial bills.,"Effective September 1, Summa Health will stop accepting out-of-network and non-contracted insurance plans. This policy aims to protect the health system and patients from significant financial burdens. The change affects services provided by the system’s medical group, urgent care centers, and laboratory and radiology services in Akron, Ohio.",exit,provider_market_exit
Maine system to end relationship with Anthem,2025-08-19T10:05:36-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/maine-system-to-end-relationship-with-anthem,1,Planned Exit,Northern Light Health,Anthem Blue Cross and Blue Shield,Commercial,,2025-10-01,ME,,Payment delays and administrative burdens from Anthem.,Anthem members will transition to out-of-network status.,"Northern Light Health will end its relationship with Anthem Blue Cross and Blue Shield, transitioning to out-of-network status for all commercial plans on October 1, 2025. The decision is due to payment delays and administrative burdens. The entire health system will also be out of network for Anthem Medicare Advantage plans starting January 1, 2026.",exit,provider_payer_exit
Maine system to end relationship with Anthem,2025-08-19T10:05:36-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/maine-system-to-end-relationship-with-anthem,2,Planned Exit,Northern Light Health,Anthem Blue Cross and Blue Shield,Medicare Advantage,,2026-01-01,ME,,Payment delays and administrative burdens from Anthem.,Anthem Medicare Advantage members will transition to out-of-network status.,"Northern Light Health will also be out of network with all Anthem Medicare Advantage plans starting January 1, 2026, due to ongoing issues with payment delays and administrative burdens.",exit,provider_payer_exit
UnitedHealth Medicare Advantage split with Rhode Island system triggers special enrollment period,2025-07-31T16:47:55-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unitedhealth-medicare-advantage-split-with-rhode-island-system-triggers-special-enrollment-period,1,Active Exit,Brown University Health,UnitedHealthcare,Medicare Advantage,,2025-07-31,RI,,Contract disagreement,Members can enroll in new plans during a special enrollment period.,"Due to a contract disagreement, Brown University Health's hospitals were removed from UnitedHealthcare's Medicare Advantage network. This significant network change triggered a special enrollment period for affected members, allowing them to transition to new plans.",exit,provider_payer_exit
"HonorHealth, BCBS Arizona reach contract agreement",2025-07-30T09:38:45-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/honorhealth-bcbs-arizona-face-aug-1-split,1,Planned Exit,HonorHealth,BCBS Arizona,Commercial | Medicare Advantage,,2025-08-01,,,Contract break due to lack of a new agreement.,Affects commercial and Medicare Advantage plans.,"HonorHealth will go out of network with BCBS Arizona on August 1 due to a contract break. This will impact services at all HonorHealth facilities and employed physicians, affecting commercial and Medicare Advantage plans.",exit,provider_payer_exit
"MU Health Care, Anthem strike deal after 3-month split",2025-07-16T14:55:38-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/mu-health-care-anthem-strike-deal-after-3-month-split,1,Resolved,MU Health Care,Anthem Blue Cross Blue Shield,Commercial,,2025-07-15,MO,Columbia,Failed to reach an agreement on reimbursement rates.,"Affected around 90,000 members.","MU Health Care went out of network with Anthem Blue Cross Blue Shield on April 1 due to a failure to agree on reimbursement rates. They have since reached an agreement to rejoin Anthem’s commercial network effective July 15, impacting approximately 90,000 members in Columbia, MO.",exit,provider_payer_exit
"MU Health Care, Anthem strike deal after 3-month split",2025-07-16T14:55:38-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/mu-health-care-anthem-strike-deal-after-3-month-split,2,Active Exit,MU Health Care,Anthem Blue Cross Blue Shield,Medicare Advantage,,,MO,Columbia,,,MU Health Care remains out of network with Anthem’s Medicare Advantage plans.,exit,provider_payer_exit
"Broward Health, Florida Blue split",2025-07-03T15:19:45-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/broward-health-florida-blue-split,1,Active Exit,Broward Health,Florida Blue,Commercial | ACA | Medicare Advantage,,2025-07-01,FL,Fort Lauderdale,Network split,"Impacts around 18,000 members","Broward Health and Florida Blue went out of network on July 1, impacting all Broward hospitals and physicians for Florida Blue’s commercial, ACA, and Medicare Advantage members. Florida Blue notified around 18,000 people about the disruption.",exit,provider_payer_exit
"Anthem, MU Health Care testify before Missouri lawmakers over contract dispute",2025-07-01T15:43:46-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/anthem-mu-health-care-testify-before-missouri-lawmakers-over-contract-dispute,1,Active Exit,University of Missouri Health Care,Anthem Blue Cross Blue Shield,Medicare Advantage | Commercial,,,MO,,Disagreement over reimbursement rates,"Affecting around 90,000 people","Since April, University of Missouri Health Care’s physicians and facilities have been out of network with Anthem’s commercial and Medicare Advantage plans due to a disagreement over reimbursement rates, affecting around 90,000 people.",exit,provider_payer_exit
