article_title,article_published_dt,article_section,article_source,link,event_index,status,provider,payer,market,program,effective_date,states,geography_detail,reason,member_impact,summary,record_type,closure_type
"How a Humana Medicaid program approaches maternal, infant health in 1 of the riskiest states",2025-11-17T16:55:08-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicaid/how-a-humana-medicaid-program-faces-maternal-infant-health-in-1-of-the-riskiest-states,1,Active Closure,,,,,,KY,,Concerns about access to local care due to rural hospitals closing.,,"There are worries about rural hospitals closing, particularly related to OB deliveries, which may lead to increased planned C-sections.",closure,hospital_closure
California hits Medicare Advantage payer with cease-and-desist,2025-09-15T16:00:00-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/california-hits-medicare-advantage-payer-with-cease-and-desist,2,Active Closure,Meritage Health Plan,,,,2025-10-31,CA,Northern California and the Central Valley,Failure to meet state financial solvency requirements.,"Nearly 11,000 MA enrollees will be reassigned.","Meritage Health Plan is effectively shutting down by the end of October due to a cease-and-desist order from the state. This closure impacts nearly 11,000 members who will need to be reassigned to other plans.",closure,other_closure
Carle Health to shutter insurance business,2025-05-22T16:43:18-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/carle-health-to-shutter-insurance-business,2,Planned Closure,Carle Health,,,,2025-12-31,IL,,Decision to exit the insurance market.,Current Medicare Advantage members will continue coverage through the end of 2025.,"Carle Health will shutter its insurance business, impacting its health plans, including Health Alliance and FirstCarolinaCare, with a planned closure at the end of 2025.",closure,other_closure
Aetna in the headlines: 8 updates,2025-05-05T11:37:33-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/aetna-in-the-headlines-8-updates,2,Active Closure,Aetna,,,,,,,closure of the payer’s CareFree insurance plan,55 employees laid off,"CVS Health will lay off 55 employees who report to Aetna’s headquarters in Hartford, Conn., due to the closure of the payer’s CareFree insurance plan.",closure,other_closure
Aetna to lay off 55 as it closes CareFree plan,2025-04-29T16:14:16-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/aetna-to-lay-off-55-as-it-closes-carefree-plan,2,Planned Closure,Aetna,,,,2025-12-31,,,Closure of the CareFree insurance plan.,,"Aetna will close its CareFree insurance plan by the end of 2025, resulting in layoffs and a transition for affected employees.",closure,other_closure
Massachusetts payer 'in very deep financial trouble',2025-03-24T09:06:00-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/massachusetts-payer-in-very-deep-financial-trouble,1,Planned Closure,Commonwealth Care Alliance,,,,,MA,,Financial issues leading to potential shutdown.,"Approximately 50,000 members.","Commonwealth Care Alliance is facing financial difficulties and may shut down. The state is preparing a plan to ensure services continue for its approximately 50,000 members.",closure,other_closure
Humana opens first Walmart clinic,2025-03-21T08:56:47-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/humana-opens-first-walmart-clinic,1,Resolved,Walmart Health,,,,2024-07-01,MO,,Walmart shuttered its health centers.,"390,000 patients saw services in 2024.","Walmart Health closed its health centers in 2024. This closure affected the operations of the clinics, leading to the leasing of these sites by Humana for CenterWell clinics.",closure,facility_closure
North Carolina insurer to wind down operations,2025-03-12T14:15:56-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/north-carolina-insurer-to-wind-down-operations,1,Planned Closure,Health Benefits Trust,,,,2025-06-30,NC,,Decision to close due to rising prices of medical procedures and specialty drugs.,"8,000 local government employees and their dependents will be affected.","The Health Benefits Trust, which provides health benefits to local government employees in North Carolina, will wind down its operations effective June 30, 2025. The decision was influenced by rising medical costs, and measures are being taken to support members during the transition.",closure,other_closure
Humana's CenterWell to add 20+ clinics in 2025,2025-02-20T20:05:07-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/humanas-centerwell-to-add-20-clinics-in-2025,1,Resolved,Walmart Health,,,,2024-07-01,"GA,NC,KS",,Walmart shuttered its health centers.,"390,000 patients were seen in 2024.","Walmart Health closed its health centers in July 2024. This closure impacted the operations of CenterWell clinics, which are expanding in existing markets.",closure,facility_closure
Medicare Advantage insurer to pay up to $98M to settle false claims allegations,2024-12-20T23:04:11-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage-insurer-to-pay-up-to-98m-to-settle-false-claims-allegations,1,Resolved,DxID,,,,2021-01-01,NY,Buffalo,Shut down due to legal issues and settlement.,,"DxID, a subsidiary of Independent Health, shut down in 2021 due to legal issues related to false claims allegations. The closure was part of a broader settlement involving Independent Health.",closure,other_closure
NYPD issues safety warning to insurance executives,2024-12-13T15:22:06-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/nypd-issues-safety-warning-to-insurance-executives,1,Temporary Closure,UnitedHealth Group,,,,,,Manhattan,Increased security concerns following a violent incident involving a health insurance executive.,,"In response to safety threats, UnitedHealth Group has temporarily closed offices and moved conferences to virtual formats. This decision was made after a CEO was murdered, prompting heightened security measures.",closure,office_closure
Insurers face backlash in wake of UnitedHealth attack,2024-12-06T15:47:02-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/insurers-bolster-executive-security-in-wake-of-unitedhealth-attack,1,Planned Closure,Medica,,,,2023-12-13,MN,Minnetonka,Out of an abundance of caution following the shooting incident.,,Medica closed its offices through December 13 out of an abundance of caution in the wake of the shooting incident involving UnitedHealth Group's CEO.,closure,office_closure
Michigan Medicine to shutter health plan,2024-12-02T15:49:40-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/michigan-medicine-shutters-health-plan,1,Planned Closure,U-M Health Plan,,,,2025-12-31,MI,"Ann Arbor, Lansing, Saginaw",Significant financial losses and unsustainability due to competitive landscape and CMS changes.,"Approximately 64,000 members affected, including 9,000 Medicare Advantage members.","U-M Health Plan will close due to significant financial losses and unsustainability, effective at the end of 2025. The closure impacts around 64,000 members, including 9,000 Medicare Advantage members, as the health system faces challenges in the competitive insurance landscape.",closure,other_closure
15 payers exiting Medicare Advantage markets in 2025,2024-07-29T19:31:41-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/5-payers-exiting-medicare-advantage-markets-in-2025,14,Active Closure,Michigan Medicine,,,,2025-01-01,MI,Ann Arbor,,,Michigan Medicine in Ann Arbor is shutting down its health plan and will not offer Medicare Advantage after 2025.,closure,other_closure
"8 recent payer lawsuits, settlements",2024-07-17T20:30:51-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/8-recent-payer-lawsuits-settlements-2,2,Planned Closure,Cook Children’s Health Care System,,,,,TX,,Not awarded a contract to manage Texas’s STAR and CHIP programs.,Plan will likely shut down if denied a Medicaid contract.,Cook Children’s Health Plan is at risk of shutting down if it does not receive a Medicaid contract from the state.,closure,other_closure
10 key Medicare Advantage updates in 2024,2024-06-27T21:39:58-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/10-key-medicare-advantage-updates-in-2024,2,Planned Closure,Walmart health centers,,,,,,,Walmart's decision to close health centers and end virtual care services.,,"Walmart has decided to close its health centers and end virtual care services, which will affect the availability of care for its members.",closure,other_closure
10 key UnitedHealth Group updates from the 1st half of 2024,2024-06-26T19:09:17-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/10-key-unitedhealth-group-updates-from-the-1st-half-of-2024,2,Planned Closure,Walmart health centers,,,,,,,Walmart's decision to close health centers and end virtual care services.,,"Walmart has decided to close its health centers and end virtual care services, which will impact the co-branded Medicare Advantage plan with UnitedHealthcare.",closure,other_closure
UnitedHealth Group in the headlines: 15 updates,2024-05-28T16:58:04-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealth-group-in-the-headlines-15-updates,1,Active Closure,Change Healthcare,,,,,OH,Toledo,Closure of a facility resulting in employee terminations.,Termination of 129 employees.,"Optum is closing a Change Healthcare facility in Toledo, Ohio, resulting in the termination of 129 employees located in Ohio or working remotely.",closure,facility_closure
UnitedHealth in the headlines: 10 updates,2024-05-10T14:45:45-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealth-in-the-headlines-10-updates-2,2,Planned Closure,Walmart health centers,,,,,,,Walmart's decision to close its health centers and end virtual care services.,,"Walmart has decided to close its health centers and end virtual care services, which will impact the co-branded Medicare Advantage plan with UnitedHealthcare.",closure,facility_closure
"Cigna, Oscar Health to shutter small group business",2024-05-08T21:41:18-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/cigna-oscar-health-to-shutter-small-group-business,2,Planned Closure,Cigna + Oscar,,,,2025-01-01,,,The venture could not find a way to make the product work long term.,"61,428 members affected as of March 31, 2024.","Cigna + Oscar will cease its small group insurance plans, impacting 61,428 members, due to challenges in achieving profitability and a strategic shift towards individual market offerings.",closure,other_closure
"UnitedHealth, Walmart halt shared Medicare Advantage plan",2024-04-30T21:10:21-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealth-walmart-halt-shared-medicare-advantage-plan,1,Planned Closure,Walmart,,,,,"FL,GA,null,null,null",51 health centers across five states,Challenging reimbursement environment and rising operating costs,,"Walmart will close its 51 health centers across five states due to the challenging reimbursement environment and rising operating costs, which have resulted in a lack of profitability.",closure,facility_closure
"UnitedHealth, Walmart halt shared Medicare Advantage plan",2024-04-30T21:10:21-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealth-walmart-halt-shared-medicare-advantage-plan,2,Planned Closure,Optum Virtual Care,,,,,,,Continued review of services and capabilities,,Optum Virtual Care confirmed its plans to close as part of the company’s continued review of services and capabilities.,closure,facility_closure
Hospital CEO blames Medicare Advantage for layoffs,2024-03-15T14:16:09-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/hospital-ceo-blames-medicare-advantage-for-layoffs,1,Active Closure,Bristol Hospital,,,,,CT,,Layoffs due to lack of reimbursement from insurers.,"60 positions eliminated, impacting hospital operations.","Bristol Hospital is eliminating 60 positions due to insufficient reimbursement from insurers, resulting in layoffs. The hospital's CEO indicated that the financial strain is forcing these cuts, which will save the system $6 million.",closure,other_closure
Bridging the Health Equity Gap in Rural America Through Exceptional Provider Support,2024-02-01T13:14:12-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/bridging-the-health-equity-gap-in-rural-america-through-exceptional-provider-support,1,Active Closure,,,,,,,Rural areas across the U.S.,Vulnerability of rural hospitals and financial challenges.,"191 rural hospitals have closed since 2005, contributing to a large medically underserved population.","Since 2005, 191 rural hospitals have closed, leading to significant health care gaps for rural Americans. The closures are attributed to financial vulnerabilities and operational challenges faced by rural health centers.",closure,hospital_closure
Medicaid in the headlines: 7 recent updates,2023-12-28T19:26:07-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicaid-in-the-headlines-7-recent-updates-6,1,Planned Closure,,,,,2024-01-01,CA,,Reduced Medicaid reimbursement rates from the state.,,"At least two California mental health programs are set to close starting January 1, 2024, due to reduced Medicaid reimbursement rates from the state.",closure,service_line_closure
Humana's 2023 in 10 headlines,2023-12-27T18:07:50-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/humanas-2023-in-10-headlines,2,Resolved,Humana,,,,2023-03-01,,New York,Closure of all SeniorBridge home care facilities nationwide.,"Laid off at least 1,162 employees.","Humana closed all its SeniorBridge home care facilities nationwide, including the remaining seven locations in New York in March 2023. This resulted in the layoff of at least 1,162 employees.",closure,facility_closure
UnitedHealth Group in the headlines: 10 updates,2023-11-16T14:56:13-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealth-group-in-the-headlines-10-updates-3,1,Planned Closure,Optum,,,,2023-12-31,MN,Eden Prairie,,,"Optum will move out of an Eden Prairie, Minn.-based campus with 473,000 square feet of office space by the end of 2023.",closure,office_closure
Medicare Advantage in the headlines: 15 recent updates,2023-10-20T21:13:01-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage-in-the-headlines-15-recent-updates,2,Active Closure,Mary Washington Healthcare,,,,2024-01-01,,"Fredericksburg, Va.",third-party administrator will not provide services in 2024,,Mary Washington Healthcare will not offer its Medicare Advantage plan in 2024 because its third-party administrator will not provide services in 2024.,closure,other_closure
Why new insurance start-ups are focused on the employer market,2023-08-09T21:47:36-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/why-new-insurance-start-ups-are-focused-on-the-employer-market,1,Active Closure,Friday Health Plans,,,,,,,The company abruptly closed down after several states took control of its finances.,,Friday Health Plans closed down abruptly due to financial control by several states. The effective date is not specified.,closure,other_closure
Why new insurance start-ups are focused on the employer market,2023-08-09T21:47:36-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/why-new-insurance-start-ups-are-focused-on-the-employer-market,2,Active Closure,Bright Health Group,,,,2022-12-31,,California,The company ended most of its insurance business and is in the process of selling its last Medicare Advantage plan.,,Bright Health Group ended most of its insurance business at the end of 2022 and is selling its last Medicare Advantage plan in California.,closure,other_closure
OSF HealthCare welcomes BCBS Medicaid members,2023-08-09T15:33:02-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/osf-healthcare-welcomes-bcbs-medicaid-members,1,Resolved,St. Margaret’s Health-Peru,,,,2023-01-01,,"Peru, Illinois",The facility closed in January.,,St. Margaret’s Health-Peru closed in January. OSF HealthCare is in the process of acquiring and reopening the facility.,closure,facility_closure
"Kaiser will honor deductibles, out-of-pocket caps for Friday Health members in Colorado",2023-07-18T21:31:19-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/kaiser-will-honor-deductibles-out-of-pocket-caps-for-friday-health-members-in-colorado,2,Active Closure,Friday Health Plans,,,,2023-06-01,CO,,The company was put into rehabilitation due to financial concerns.,,Friday Health Plans is closing its business as of June 1 due to financial difficulties.,closure,other_closure
Humana in the headlines: 8 recent updates,2023-07-17T21:27:02-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/humana-in-the-headlines-8-recent-updates-3,2,Active Closure,Humana,,,,,,,Humana shuttered its SeniorCare clinics in the first half of 2023.,,Humana shuttered its SeniorCare clinics in the first half of 2023.,closure,facility_closure
BCBS Minnesota unearths two time capsules at its headquarters,2023-07-12T15:41:20-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/bcbs-minnesota-unearths-two-time-capsules-at-its-headquarters,1,Planned Closure,BCBS Minnesota,,,,,MN,Eagan,Low utilization and occupation since switching to a hybrid work model.,,"BCBS Minnesota is leaving its 443,000-square-foot headquarters in Eagan due to low utilization and occupation since adopting a hybrid work model. The closure is planned as the company transitions away from the building.",closure,office_closure
10 key Humana updates from the first half of 2023,2023-06-27T19:24:52-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/10-key-humana-updates-from-the-first-half-of-2023,2,Active Closure,SeniorBridge,,,,2023-03-05,NY,,Closure of all SeniorBridge home care facilities nationwide.,"Laid off at least 1,162 employees.","SeniorBridge closed its remaining seven locations in New York on March 5, following the decision to close all its facilities nationwide, resulting in layoffs of over 1,162 employees.",closure,facility_closure
Colorado urges providers to continue accepting Friday Health Plans,2023-06-27T19:22:00-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/colorado-urges-providers-to-continue-accepting-friday-health-plans,1,Active Closure,Friday Health Plans,,,,2023-06-01,"CO,GA,NC,OK","Alamosa, Colorado; Georgia; North Carolina; Oklahoma",The company decided to shutter its business.,"Members in Georgia have until July 31 to enroll in a new plan, and members in North Carolina and Oklahoma have until August 31.","Friday Health Plans announced it would close its business effective June 1. Colorado has taken control of the plan's operations to preserve member coverage through the end of the year. Members in Georgia, North Carolina, and Oklahoma have specific deadlines to enroll in new plans to avoid coverage gaps.",closure,other_closure
"As Friday Health falters, its co-founder sues over alleged unpaid severance",2023-06-06T21:31:51-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/as-friday-health-falters-its-former-coo-sues-over-alleged-unpaid-severance,2,Active Closure,Friday Health,,,,,,nationwide,Inability to secure additional capital and regulatory actions.,,Friday Health is winding down its business operations nationwide due to financial and regulatory challenges.,closure,other_closure
Centene in the headlines: 7 recent updates,2023-04-26T16:39:34-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/centene-in-the-headlines-7-recent-updates,1,Active Closure,Centene,,,,,MO,Creve Coeur,,,"Centene exited 103,585 square feet of office space in Creve Coeur, Mo., earlier this year.",closure,office_closure
Centene in the headlines: 7 recent updates,2023-04-26T16:39:34-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/centene-in-the-headlines-7-recent-updates,2,Active Closure,Centene,,,,,,,,,"Centene has exited at least 600,000 square feet of office space in the past year.",closure,office_closure
UnitedHealth in the headlines: 9 updates,2023-04-05T13:33:48-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealth-in-the-headlines-9-updates,1,Planned Closure,UnitedHealth Group,,,,2024-12-31,MN,Minnetonka,UnitedHealth Group indicated it would not renew the lease at its 20-acre campus.,,"UnitedHealth Group plans to not renew the lease at its 20-acre campus in Minnetonka, Minnesota, which runs through 2024.",closure,office_closure
Bright Health in the headlines: 8 recent updates,2023-04-04T15:30:37-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/bright-health-in-the-headlines-8-recent-updates,2,Active Closure,Bright Health Group,,,,2023-04-01,MN,Bloomington,Layoffs at the headquarters.,68 employees laid off.,"Bright Health Group announced plans to lay off 68 employees at its Bloomington, Minnesota headquarters, effective April 1.",closure,office_closure
Humana in the headlines: 8 recent updates,2023-03-22T20:32:30-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/humana-in-the-headlines-8-recent-updates-2,2,Active Closure,Humana,,,,,,"Miramar, Fla.","Humana moved out of a four-story, 96,000-square-foot building as part of the company’s hybrid pivot.",,"Humana has closed its office in Miramar, Fla., as part of a shift to a hybrid work model.",closure,office_closure
Humana's CenterWell opening 10 clinics in North Texas in 2023,2023-01-25T19:56:31-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/humanas-centerwell-opening-10-clinics-in-north-texas-in-2023,1,Planned Closure,SeniorBridge,,,,,,,Humana plans to shutter all of its SeniorBridge home care facilities.,"Laying off at least 1,162 employees.","Humana plans to close all SeniorBridge home care facilities, resulting in layoffs of at least 1,162 employees.",closure,facility_closure
Humana adding 3 new CenterWell clinics in North Carolina,2023-01-19T19:44:17-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/humana-adding-3-new-centerwell-clinics-in-north-carolina,1,Active Closure,SeniorBridge,,,,,,,Humana plans to shutter all of its SeniorBridge home care facilities.,"Laying off at least 1,162 employees.","Humana is closing all SeniorBridge home care facilities, resulting in the layoff of at least 1,162 employees.",closure,facility_closure
Humana in the headlines: 7 recent updates,2023-01-10T20:08:35-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/humana-in-the-headlines-7-recent-updates,1,Planned Closure,Humana,,,,2023-03-05,NY,,Closure of all SeniorBridge home care facilities nationwide.,,"Humana plans to close its remaining seven SeniorBridge home care facilities in New York by March 5, 2023, following the closure of 16 facilities at the end of 2022.",closure,facility_closure
Aetna in the headlines: 8 recent updates,2023-01-06T20:28:54-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/aetna-in-the-headlines-8-recent-updates,3,Active Closure,Aetna,,,,,PA,Bethlehem,Most employees began working remotely during the pandemic.,,"Aetna moved out of an 83,512-square-foot call center in Bethlehem, Pa., as most employees began working remotely during the pandemic.",closure,office_closure
Humana's 2022 in 8 headlines,2022-12-29T20:39:55-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/humanas-2022-in-8-headlines,2,Planned Closure,SeniorBridge,,,,,FL,Jupiter,Humana is preparing to close most of its SeniorBridge locations nationwide.,157 employees will be laid off.,"Humana plans to lay off 157 employees at its SeniorBridge facility in Jupiter, Florida, as it prepares to close most of its SeniorBridge locations nationwide.",closure,facility_closure
"Aetna, CVS adding resources and crisis support for members affected by Hurricane Ian",2022-09-27T21:26:21-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/aetna-cvs-adding-resources-and-crisis-support-for-members-affected-by-hurricane-ian,1,Planned Closure,CVS,,,,,FL,,Mandatory evacuation orders due to Hurricane Ian.,,CVS pharmacy locations will close in areas with mandatory evacuation orders due to Hurricane Ian. Customers are advised to fill and pick up prescriptions in advance of the storm.,closure,office_closure
Centene in the headlines: 8 recent developments,2022-09-08T18:06:19-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/centene-in-the-headlines-8-recent-developments,2,Planned Closure,Fidelis Care,,,,,NY,Buffalo and Niagara Falls,Exiting some leases for office space,,"Fidelis Care, a subsidiary of Centene, will exit some leases for office space in the Buffalo and Niagara Falls region of New York as part of its commitment to remote and hybrid employee work styles.",closure,office_closure
Humana in the headlines: 8 recent stories,2022-07-29T16:48:14-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/humana-in-the-headlines-8-recent-stories,1,Active Closure,Humana,,,,,KY,Louisville,Humana is donating an office building.,,"Humana is donating an eight-story office building in downtown Louisville, KY, to the University of Louisville. The building will be used by the university’s Health Equity Innovation Hub.",closure,office_closure
"Aetna circumvented obligations to cover out-of-network COVID-19 diagnostic testing, lawsuit alleges",2022-05-18T16:03:38-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/aetna-circumvented-obligations-to-cover-out-of-network-covid-19-diagnostic-testing-lawsuit-alleges,1,Active Closure,Saloojas,,,,,,,Financial loss due to Aetna's misprocessing and denials of COVID-19 testing claims.,,"Saloojas alleges that Aetna's actions have caused the company to shutter specimen collection and testing locations, potentially stopping COVID-19 testing services altogether.",closure,other_closure
Texas orders payer to cease all operations,2022-04-27T16:39:17-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/texas-orders-payer-to-cease-all-operations,2,Active Closure,Salvasen,,,,2022-03-31,TX,,Banned from operating due to selling unauthorized health plans.,Members must continue submitting claims until obligations are met.,"Salvasen is shutting down operations effective March 31, 2022, after being banned from selling unauthorized health plans in Texas and other states. Members are advised to continue submitting claims as per their plan documents.",closure,other_closure
"7 recent payer contract disputes, resolutions",2022-03-04T22:25:25-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/7-recent-payer-contract-disputes-resolutions-2,3,Active Closure,Mayo Clinic,,,,,MN,,Change in enforcement blocking out-of-network patients,Some Medicare Advantage beneficiaries can no longer schedule appointments,"Mayo Clinic is no longer allowing some Medicare Advantage beneficiaries to schedule appointments due to a change in enforcement that blocks out-of-network patients, ensuring access for those in contracted plans.",closure,unit_closure
Connecticut considers bill to cap out-of-network costs,2025-05-12T14:49:34-05:00,policy_updates,Beckers Payer,https://www.beckerspayer.com/policy-updates/connecticut-considers-bill-to-cap-out-of-network-costs,1,Planned Closure,,,,,,CT,,Financial pressure from proposed rate cap on out-of-network services.,"Potential impact on revenue leading to closures, estimated $700 million cut in payments.",The proposed bill in Connecticut could lead to some hospitals and practices closing due to financial pressures. The Connecticut Hospital Association estimates a potential $700 million annual cut in payments to hospitals.,closure,hospital_closure
